pressure,temperature,vf,vg,hf,hg,sf,sg
17872.03,356.4036,0.0018,0.0076,1726.5673,2514.9452,3.8634,5.1157
18092.66,357.4166,0.0018,0.0074,1736.1111,2506.0646,3.8779,5.099
18313.29,358.419,0.0019,0.0072,1745.8061,2496.8799,3.8926,5.0819
18533.92,359.411,0.0019,0.0071,1755.6702,2487.3629,3.9076,5.0643
18754.55,360.3928,0.0019,0.0069,1765.723,2477.4799,3.9228,5.0463
18975.18,361.3645,0.0019,0.0067,1775.9856,2467.1911,3.9383,5.0277
19195.81,362.3263,0.0019,0.0065,1786.4818,2456.4484,3.9542,5.0085
19416.44,363.2782,0.002,0.0063,1797.2385,2445.1931,3.9704,4.9885
19637.07,364.2204,0.002,0.0062,1808.2879,2433.3522,3.9871,4.9678
19857.7,365.1529,0.002,0.006,1819.6704,2420.8338,4.0042,4.9461
20078.33,366.0758,0.0021,0.0058,1831.4413,2407.5196,4.022,4.9232
20298.96,366.9891,0.0021,0.0056,1843.68,2393.2538,4.0404,4.8989
20519.59,367.8927,0.0021,0.0054,1856.507,2377.8254,4.0597,4.8729
20740.22,368.7867,0.0022,0.0052,1870.112,2360.9398,4.0802,4.8448
20960.85,369.671,0.0022,0.005,1884.8033,2342.167,4.1023,4.8138
21181.48,370.5455,0.0022,0.0048,1901.1025,2320.8435,4.1269,4.7789
21402.11,371.4104,0.0023,0.0046,1919.9424,2295.8595,4.1553,4.7385
21622.74,372.2657,0.0024,0.0043,1943.1131,2265.0967,4.1904,4.6893
21843.37,373.1114,0.0025,0.004,1974.6151,2223.1885,4.2384,4.623
